,ABC,Water,Gluten%,SV ml,Moisture,Slot
0,3.3,17.0,10.77,26.0,12.52,2.0
1,3.3,17.0,10.77,26.0,12.52,2.0
2,3.3,17.0,10.77,26.0,12.52,2.0
3,3.3,17.0,10.77,26.0,12.52,2.0
4,3.3,17.0,10.77,26.0,12.52,2.0
5,5.1,17.0,10.77,26.0,12.52,2.0
6,5.1,17.0,10.77,26.0,12.52,2.0
7,5.1,17.0,10.77,26.0,12.52,2.0
8,5.1,17.0,10.77,26.0,12.52,2.0
9,5.0,17.0,10.77,26.0,12.52,2.0
10,5.0,17.0,10.77,26.0,12.52,2.0
11,5.0,17.0,10.77,26.0,12.52,2.0
12,4.8,17.0,10.77,26.0,12.52,2.0
13,4.8,17.0,10.77,26.0,12.52,1.0
14,4.8,17.0,10.77,26.0,12.52,1.0
15,4.8,17.0,10.77,26.0,12.52,1.0
16,4.5,17.0,10.77,26.0,12.52,1.0
17,4.5,17.0,10.77,26.0,12.52,1.0
18,4.5,17.0,10.77,26.0,12.52,1.0
19,4.5,17.0,10.77,26.0,12.52,1.0
20,4.5,17.0,10.77,26.0,12.52,1.0
21,4.5,17.0,10.77,26.0,12.52,1.0
22,4.6,17.0,10.77,26.0,12.52,1.0
23,4.6,17.0,10.77,26.0,12.52,1.0
24,4.6,17.0,10.77,26.0,12.52,1.0
25,4.8,16.0,10.77,26.0,12.52,1.0
26,4.8,16.0,10.77,26.0,12.52,1.0
27,4.8,15.0,10.77,26.0,12.52,1.0
28,4.8,15.0,10.77,26.0,12.52,1.0
29,4.8,15.0,10.77,26.0,12.52,3.0
30,4.8,15.0,10.77,26.0,12.52,3.0
31,4.8,15.0,10.77,26.0,12.52,3.0
32,4.8,15.0,10.77,26.0,12.52,3.0
33,4.8,15.0,10.77,26.0,12.52,3.0
34,4.8,15.0,10.77,26.0,12.52,3.0
35,4.8,15.0,10.77,26.0,12.52,3.0
36,4.8,15.0,10.77,26.0,12.52,3.0
37,4.8,15.0,10.77,26.0,12.52,3.0
38,4.8,15.0,10.77,26.0,12.52,3.0
39,4.8,15.0,10.77,26.0,12.52,3.0
40,4.8,15.0,10.77,26.0,12.52,3.0
41,4.8,15.0,10.77,26.0,12.52,3.0
42,4.8,15.0,10.77,26.0,12.52,3.0
43,4.8,15.0,10.77,26.0,12.52,3.0
44,4.8,15.0,10.77,26.0,12.52,3.0
45,4.8,16.0,10.77,26.0,12.52,3.0
46,4.8,16.0,10.77,26.0,12.52,3.0
47,4.8,16.0,10.77,26.0,12.52,3.0
48,4.8,16.0,10.77,26.0,12.52,3.0
49,4.8,16.0,10.77,26.0,12.52,3.0
50,5.0,16.0,11.24,26.0,12.17,2.0
51,5.0,16.0,11.24,26.0,12.17,2.0
52,5.0,16.0,11.24,26.0,12.17,2.0
53,5.0,16.0,11.24,26.0,12.17,2.0
54,5.0,16.0,11.24,26.0,12.17,2.0
55,5.0,16.0,11.24,26.0,12.17,2.0
56,5.0,16.0,11.24,26.0,12.17,2.0
57,5.0,16.0,11.24,26.0,12.17,2.0
58,5.0,16.0,11.24,26.0,12.17,2.0
59,5.0,16.0,11.24,26.0,12.17,2.0
60,5.0,16.0,11.24,26.0,12.17,2.0
61,5.0,16.0,11.24,26.0,12.17,1.0
62,5.0,16.0,11.24,26.0,12.17,1.0
63,5.0,16.0,11.24,26.0,12.17,1.0
64,5.0,16.0,11.24,26.0,12.17,1.0
65,5.0,16.0,11.24,26.0,12.17,1.0
66,5.0,16.0,11.24,26.0,12.17,1.0
67,5.0,16.0,11.24,26.0,12.17,1.0
68,5.0,16.0,11.24,26.0,12.17,1.0
69,5.0,16.0,11.24,26.0,12.17,1.0
70,5.0,16.0,11.24,26.0,12.17,1.0
71,4.5,15.0,11.24,26.0,12.17,3.0
72,4.0,15.0,11.24,26.0,12.17,3.0
73,4.0,15.0,11.24,26.0,12.17,3.0
74,4.5,15.0,11.24,26.0,12.17,3.0
75,4.5,15.0,11.24,26.0,12.17,3.0
76,4.5,15.0,11.24,26.0,12.17,3.0
77,5.0,15.0,11.24,26.0,12.17,3.0
78,5.0,15.0,11.24,26.0,12.17,3.0
79,5.5,15.0,11.24,26.0,12.17,3.0
80,5.5,15.0,11.24,26.0,12.17,3.0
81,5.5,15.0,11.24,26.0,12.17,3.0
82,5.0,15.0,11.24,26.0,12.17,3.0
83,5.0,15.0,11.24,26.0,12.17,3.0
84,5.0,15.0,11.24,26.0,12.17,3.0
85,5.0,15.0,11.24,26.0,12.17,3.0
86,5.0,15.0,11.24,26.0,12.17,3.0
87,5.0,15.0,11.24,26.0,12.17,3.0
88,5.0,15.0,11.24,26.0,12.17,3.0
