ABC,Water,Gluten%,SV ml,Moisture,Slot
3.3,17,10.77,26,12.52,1
3.3,17,10.77,26,12.52,1
3.3,17,10.77,26,12.52,1
3.3,17,10.77,26,12.52,1
3.3,17,10.77,26,12.52,1
5.1,17,10.77,26,12.52,1
5.1,17,10.77,26,12.52,1
5.1,17,10.77,26,12.52,1
5.1,17,10.77,26,12.52,1
5,17,10.77,26,12.52,1
5,17,10.77,26,12.52,1
5,17,10.77,26,12.52,1
4.8,17,10.77,26,12.52,1
4.8,17,10.77,26,12.52,0
4.8,17,10.77,26,12.52,0
4.8,17,10.77,26,12.52,0
4.5,17,10.77,26,12.52,0
4.5,17,10.77,26,12.52,0
4.5,17,10.77,26,12.52,0
4.5,17,10.77,26,12.52,0
4.5,17,10.77,26,12.52,0
4.5,17,10.77,26,12.52,0
4.6,17,10.77,26,12.52,0
4.6,17,10.77,26,12.52,0
4.6,17,10.77,26,12.52,0
4.8,16,10.77,26,12.52,0
4.8,16,10.77,26,12.52,0
4.8,15,10.77,26,12.52,0
4.8,15,10.77,26,12.52,0
4.8,15,10.77,26,12.52,2
4.8,15,10.77,26,12.52,2
4.8,15,10.77,26,12.52,2
4.8,15,10.77,26,12.52,2
4.8,15,10.77,26,12.52,2
4.8,15,10.77,26,12.52,2
4.8,15,10.77,26,12.52,2
4.8,15,10.77,26,12.52,2
4.8,15,10.77,26,12.52,2
4.8,15,10.77,26,12.52,2
4.8,15,10.77,26,12.52,2
4.8,15,10.77,26,12.52,2
4.8,15,10.77,26,12.52,2
4.8,15,10.77,26,12.52,2
4.8,15,10.77,26,12.52,2
4.8,15,10.77,26,12.52,2
4.8,16,10.77,26,12.52,2
4.8,16,10.77,26,12.52,2
4.8,16,10.77,26,12.52,2
4.8,16,10.77,26,12.52,2
4.8,16,10.77,26,12.52,2
5,16,11.24,26,12.17,1
5,16,11.24,26,12.17,1
5,16,11.24,26,12.17,1
5,16,11.24,26,12.17,1
5,16,11.24,26,12.17,1
5,16,11.24,26,12.17,1
5,16,11.24,26,12.17,1
5,16,11.24,26,12.17,1
5,16,11.24,26,12.17,1
5,16,11.24,26,12.17,1
5,16,11.24,26,12.17,1
5,16,11.24,26,12.17,0
5,16,11.24,26,12.17,0
5,16,11.24,26,12.17,0
5,16,11.24,26,12.17,0
5,16,11.24,26,12.17,0
5,16,11.24,26,12.17,0
5,16,11.24,26,12.17,0
5,16,11.24,26,12.17,0
5,16,11.24,26,12.17,0
